station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_has_key_dispenser
3625,28 St & 40 Ave,6462.17,40.7525758,-73.9364281,71,"CREDITCARD,KEY",2,0,0,2,0,false,false,false,2018-10-03T00:00:00,false,false
3640,Journal Square,JC103,40.73367,-74.0625,70,"CREDITCARD,KEY",18,15,1,2,0,true,true,true,2018-10-09T00:00:00,false,false
249,Harrison St & Hudson St,5400.05,40.71870987,-74.0090009,71,"CREDITCARD,KEY",27,25,0,2,0,true,true,true,2018-10-09T00:00:00,false,false
3183,Exchange Place,JC001,40.7162469,-74.0334588,70,"CREDITCARD,KEY",30,28,0,2,0,true,true,true,2018-10-09T00:00:00,false,false
534,Water - Whitehall Plaza,4962.04,40.70255065,-74.0127234,71,"CREDITCARD,KEY",31,28,1,2,0,true,true,true,2018-10-09T00:00:00,false,false
3260,Mercer St & Bleecker St,5679.05,40.7270636335,-73.9966213703,71,"CREDITCARD,KEY",31,28,1,2,0,true,true,true,2018-10-09T00:00:00,false,false
398,Atlantic Ave & Furman St,4614.04,40.69165183,-73.9999786,71,"CREDITCARD,KEY",31,29,0,2,0,true,true,true,2018-10-09T00:00:00,false,false
319,Fulton St & Broadway,5175.08,40.711066,-74.009447,71,"CREDITCARD,KEY",33,30,1,2,0,true,true,true,2018-10-09T00:00:00,false,false
2023,E 55 St & Lexington Ave,6732.07,40.75968085,-73.97031366,71,"CREDITCARD,KEY",36,33,1,2,0,true,true,true,2018-10-09T00:00:00,false,false
3195,Sip Ave,JC056,40.7307426253,-74.063783884,70,"CREDITCARD,KEY",38,36,0,2,0,true,true,true,2018-10-09T00:00:00,false,false
330,Reade St & Broadway,5247.10,40.71450451,-74.00562789,71,"CREDITCARD,KEY",39,37,0,2,0,true,true,true,2018-10-09T00:00:00,false,false
3119,Vernon Blvd & 50 Ave,6170.02,40.74232744,-73.95411749,71,"CREDITCARD,KEY",45,43,0,2,0,true,true,true,2018-10-09T00:00:00,false,false
324,DeKalb Ave & Hudson Ave,4513.06,40.689888,-73.981013,71,"CREDITCARD,KEY",51,49,0,2,0,true,true,true,2018-10-09T00:00:00,false,false
242,Carlton Ave & Flushing Ave,4732.08,40.697787,-73.973736,71,"CREDITCARD,KEY",23,19,1,3,0,true,true,true,2018-10-09T00:00:00,false,false
503,E 20 St & Park Ave,6055.08,40.73827428,-73.98751968,71,"CREDITCARD,KEY",29,25,1,3,0,true,true,true,2018-10-09T00:00:00,false,false
3489,Gold St & Frankfort St,5137.12,40.7106999463,-74.0035414696,71,"CREDITCARD,KEY",31,27,1,3,0,true,true,true,2018-10-09T00:00:00,false,false
3132,E 59 St & Madison Ave,6801.01,40.76350532,-73.97109243,71,"CREDITCARD,KEY",35,31,1,3,0,true,true,true,2018-10-09T00:00:00,false,false
466,W 25 St & 6 Ave,6215.04,40.74395411,-73.99144871,71,"CREDITCARD,KEY",35,28,4,3,0,true,true,true,2018-10-09T00:00:00,false,false
3272,Jersey & 3rd,JC074,40.7233315865,-74.0459525585,70,"CREDITCARD,KEY",14,9,1,4,0,true,true,true,2018-10-09T00:00:00,false,false
3412,Pacific St & Nevins St,4362.04,40.6853761,-73.98302136,71,"CREDITCARD,KEY",18,13,1,4,0,true,true,true,2018-10-09T00:00:00,false,false
144,Nassau St & Navy St,4812.02,40.69839895,-73.98068914,71,"CREDITCARD,KEY",19,13,2,4,0,true,true,true,2018-10-09T00:00:00,false,false
3601,Sterling St & Bedford Ave,3665.06,40.6627059,-73.9569115,71,"CREDITCARD,KEY",19,12,3,4,0,true,false,false,2018-10-08T00:00:00,false,false
3420,Douglass St & 3 Ave,4217.02,40.6802133,-73.98432695,71,"CREDITCARD,KEY",21,16,1,4,0,true,true,true,2018-10-09T00:00:00,false,false
3064,Myrtle Ave & Lewis Ave,4729.01,40.69681963,-73.93756926,71,"CREDITCARD,KEY",23,17,2,4,0,true,true,true,2018-10-09T00:00:00,false,false
354,Emerson Pl & Myrtle Ave,4683.02,40.69363137,-73.96223558,71,"CREDITCARD,KEY",23,19,0,4,0,true,true,true,2018-10-09T00:00:00,false,false
3337,Dwight St & Van Dyke St,3981.10,40.6736355134,-74.0119555593,71,"CREDITCARD,KEY",23,18,1,4,0,true,true,true,2018-10-09T00:00:00,false,false
3676,Van Brunt St & Van Dyke St,4095.10,40.6758329439,-74.0147262812,71,"CREDITCARD,KEY",24,19,1,4,0,true,true,true,2018-10-09T00:00:00,false,false
3335,Union St & 4 Ave,4175.15,40.6772744,-73.98282002,71,"CREDITCARD,KEY",28,20,4,4,0,true,true,true,2018-10-09T00:00:00,false,false
3472,W 15 St & 10 Ave,6115.09,40.7427538287,-74.007473588,71,"CREDITCARD,KEY",39,35,0,4,0,true,true,true,2018-10-09T00:00:00,false,false
327,Vesey Pl & River Terrace,5297.02,40.7153379,-74.01658354,71,"CREDITCARD,KEY",39,34,1,4,0,true,true,true,2018-10-09T00:00:00,false,false
3440,Fulton St & Adams St,4637.06,40.6924182926,-73.989494741,71,"CREDITCARD,KEY",43,39,0,4,0,true,true,true,2018-10-09T00:00:00,false,false
195,Liberty St & Broadway,5105.01,40.70905623,-74.01043382,71,"CREDITCARD,KEY",45,40,1,4,0,true,true,true,2018-10-09T00:00:00,false,false
522,E 51 St & Lexington Ave,6659.01,40.75714758,-73.97207836,71,"CREDITCARD,KEY",51,44,3,4,0,true,true,true,2018-10-09T00:00:00,false,false
3669,Henry St & W 9 St,4119.05,40.6763035763,-74.0031404793,71,"CREDITCARD,KEY",19,13,1,5,0,true,true,true,2018-10-09T00:00:00,false,false
3393,Richards St & Delavan St,4202.04,40.6794327,-74.00785041,71,"CREDITCARD,KEY",19,14,0,5,0,true,true,true,2018-10-09T00:00:00,false,false
3340,Wolcott St & Dwight St,4054.02,40.6753274,-74.0100698,71,"CREDITCARD,KEY",21,15,1,5,0,true,true,true,2018-10-09T00:00:00,false,false
3659,W 17 St & 9 Ave,6190.06,40.7429489166,-74.00413692,71,"CREDITCARD,KEY",25,20,0,5,0,true,true,true,2018-10-09T00:00:00,false,false
3526,31 St & 23 Ave,7144.01,40.7747878,-73.9125551,71,"CREDITCARD,KEY",27,21,1,5,0,true,true,true,2018-10-09T00:00:00,false,false
3486,Schermerhorn St & Bond St,4479.08,40.6884174275,-73.984516561,71,"CREDITCARD,KEY",30,23,2,5,0,true,true,true,2018-10-09T00:00:00,false,false
3232,Bond St & Fulton St,4479.06,40.6896218879,-73.9830426872,71,"CREDITCARD,KEY",31,26,0,5,0,true,true,true,2018-10-09T00:00:00,false,false
458,11 Ave & W 27 St,6425.04,40.751396,-74.005226,71,"CREDITCARD,KEY",31,26,0,5,0,true,true,true,2018-10-09T00:00:00,false,false
3458,W 55 St & 6 Ave,6809.08,40.7630938727,-73.9783501625,71,"CREDITCARD,KEY",40,35,0,5,0,true,true,true,2018-10-09T00:00:00,false,false
3191,Union St,JC051,40.7182113,-74.0836394,70,"CREDITCARD,KEY",18,12,0,6,0,true,true,true,2018-10-09T00:00:00,false,false
3042,Fulton St & Utica Ave,4228.02,40.6794268,-73.9298911,71,"CREDITCARD,KEY",19,8,5,6,0,true,true,true,2018-10-09T00:00:00,false,false
3330,Henry St & Bay St,3972.08,40.6725058,-74.00494695,71,"CREDITCARD,KEY",19,11,2,6,0,true,true,true,2018-10-09T00:00:00,false,false
3333,Columbia St & Lorraine St,4103.08,40.6747055,-74.0075572,71,"CREDITCARD,KEY",21,15,0,6,0,true,true,true,2018-10-09T00:00:00,false,false
3664,North Moore St & Greenwich St,5470.12,40.7201952144,-74.0103006363,71,"CREDITCARD,KEY",30,24,0,6,0,true,true,true,2018-10-09T00:00:00,false,false
239,Willoughby St & Fleet St,4628.05,40.69196566,-73.9813018,71,"CREDITCARD,KEY",31,24,1,6,0,true,true,true,2018-10-09T00:00:00,false,false
3459,E 53 St & 3 Ave,6617.02,40.7576322774,-73.9693057537,71,"CREDITCARD,KEY",34,25,3,6,0,true,true,true,2018-10-09T00:00:00,false,false
3199,Newport Pkwy,JC008,40.7287448,-74.0321082,70,"CREDITCARD,KEY",14,5,1,7,1,true,true,true,2018-10-09T00:00:00,false,false
119,Park Ave & St Edwards St,4700.06,40.69608941,-73.97803415,71,"CREDITCARD,KEY",19,12,0,7,0,true,true,true,2018-10-09T00:00:00,false,false
328,Watts St & Greenwich St,5578.02,40.72405549,-74.00965965,71,"CREDITCARD,KEY",23,15,1,7,0,true,true,true,2018-10-09T00:00:00,false,false
