"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Status-based_45_timestep1min_rep10"
"11/23/2018 15:44:55:639 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_pick","duration_to_drop","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_drop","pct_station_capacity_to_pick","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"141","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","259","52","168"
"142","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","279","55","168"
"143","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","305","48","168"
"144","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","264","59","168"
"145","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","365","50","168"
"146","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","286","42","168"
"147","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","282","37","168"
"148","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","297","61","168"
"149","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","230","50","168"
"150","1","2","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","316","44","168"
"151","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","292","46","168"
"152","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","313","45","168"
"153","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","327","46","168"
"154","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","311","32","168"
"155","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","232","43","168"
"156","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","308","51","168"
"157","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","271","36","168"
"158","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","261","65","168"
"159","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","320","55","168"
"160","1","2","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","312","53","168"
"161","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","305","57","168"
"162","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","305","42","168"
"163","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","328","48","168"
"164","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","279","57","168"
"165","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","287","47","168"
"166","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","297","37","168"
"167","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","271","42","168"
"168","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","352","43","168"
"169","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","291","47","168"
"170","1","2","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","300","46","168"
"171","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","272","50","168"
"172","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","264","49","168"
"173","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","347","46","168"
"174","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","316","44","168"
"175","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","214","35","168"
"176","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","249","55","168"
"177","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","299","43","168"
"178","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","249","49","168"
"179","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","303","58","168"
"180","1","2","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","287","36","168"
"181","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","248","58","168"
"182","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","272","53","168"
"183","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","271","57","168"
"184","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","228","54","168"
"185","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","280","61","168"
"186","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","293","67","168"
"187","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","304","40","168"
"188","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","281","55","168"
"189","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","256","58","168"
"190","1","3","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","256","70","168"
"191","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","364","61","168"
"192","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","278","55","168"
"193","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","235","61","168"
"194","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","285","56","168"
"195","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","354","78","168"
"196","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","246","68","168"
"197","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","235","70","168"
"198","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","279","68","168"
"199","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","255","59","168"
"200","1","3","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","262","79","168"
"201","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","279","61","168"
"202","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","226","60","168"
"203","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","276","75","168"
"204","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","250","47","168"
"205","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","249","64","168"
"206","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","289","72","168"
"207","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","265","71","168"
"208","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","253","73","168"
"209","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","292","63","168"
"210","1","3","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","223","63","168"
"211","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","205","74","168"
"212","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","267","57","168"
"213","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","312","61","168"
"214","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","312","60","168"
"215","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","220","54","168"
"216","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","293","61","168"
"217","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","276","80","168"
"218","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","301","52","168"
"219","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","266","64","168"
"220","1","3","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","220","66","168"
