[run number],sim_timestep_minutes,num_trucks,duration_to_pick,duration_to_drop,truck_capacity,truck_speed,wait_for_demo?,rebalancing_method,wait_time,pct_station_capacity_to_drop,pct_station_capacity_to_pick,truck_movement,shortage_threshold,days_to_simulate,[step],simulated_out_of_bikes_count,simulated_out_of_docks_count,sim_elapsed_hours
126,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,405,48,168
127,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,466,41,168
128,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,479,58,168
129,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,479,73,168
130,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,624,111,168
131,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,737,141,168
132,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,613,105,168
133,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,660,153,168
134,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,690,171,168
135,1,5,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,744,214,168
136,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,357,46,168
137,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,145,13,168
138,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,116,24,168
139,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,113,12,168
140,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,195,12,168
141,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,377,71,168
142,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,170,18,168
143,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,142,27,168
144,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,140,20,168
145,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,144,16,168
146,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,393,48,168
147,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,119,24,168
148,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,136,16,168
149,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,149,17,168
